window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
R,S-RTH,S2,1.5,120,-0.044,0.026,0.6,0.482,20874.0
R,S-RTH,S2,2.0,5,0.009,0.012,1.22,0.458,17312.0
R,S-RTH,S2,2.0,15,-0.001,0.023,1.32,0.479,16924.0
R,S-RTH,S2,2.0,30,-0.016,0.017,0.69,0.487,16474.0
R,S-RTH,S2,2.0,60,-0.036,0.069,1.83,0.485,15545.0
R,S-RTH,S2,2.0,120,-0.083,0.122,2.51,0.481,13771.0
R,S-RTH,S2,2.5,5,0.006,0.006,0.43,0.464,8677.0
R,S-RTH,S2,2.5,15,0.004,0.038,1.63,0.482,8575.0
R,S-RTH,S2,2.5,30,-0.014,0.055,1.76,0.489,8455.0
R,S-RTH,S2,2.5,60,-0.041,0.119,2.78,0.485,8121.0
R,S-RTH,S2,2.5,120,-0.076,0.097,1.82,0.486,7453.0
R,S-RTH,S2,3.0,5,0.018,0.054,3.21,0.483,4276.0
R,S-RTH,S2,3.0,15,0.027,0.098,3.62,0.505,4255.0
R,S-RTH,S2,3.0,30,0.01,0.135,3.74,0.511,4229.0
R,S-RTH,S2,3.0,60,0.003,0.189,3.78,0.516,4104.0
R,S-RTH,S2,3.0,120,-0.04,0.127,1.95,0.498,3856.0
R,S-RTH,S3,1.5,5,0.01,0.026,2.63,0.442,22921.0
R,S-RTH,S3,1.5,15,0.012,0.041,2.38,0.47,22288.0
R,S-RTH,S3,1.5,30,0.01,0.049,1.78,0.483,21536.0
R,S-RTH,S3,1.5,60,-0.034,0.039,0.95,0.482,20157.0
R,S-RTH,S3,1.5,120,-0.052,0.145,2.29,0.482,17432.0
R,S-RTH,S3,2.0,5,0.008,0.025,2.0,0.448,14768.0
R,S-RTH,S3,2.0,15,0.001,0.038,1.72,0.474,14554.0
R,S-RTH,S3,2.0,30,-0.007,0.056,1.68,0.488,14306.0
R,S-RTH,S3,2.0,60,-0.042,0.135,2.77,0.483,13711.0
R,S-RTH,S3,2.0,120,-0.114,0.295,4.48,0.477,12522.0
R,S-RTH,S3,2.5,5,0.025,0.067,4.36,0.463,8054.0
R,S-RTH,S3,2.5,15,0.019,0.109,4.1,0.479,7995.0
R,S-RTH,S3,2.5,30,-0.015,0.144,3.56,0.487,7909.0
R,S-RTH,S3,2.5,60,-0.084,0.243,4.3,0.485,7723.0
R,S-RTH,S3,2.5,120,-0.116,0.33,4.24,0.474,7352.0
R,S-RTH,S3,3.0,5,0.035,0.101,4.94,0.476,4377.0
R,S-RTH,S3,3.0,15,-0.003,0.124,3.57,0.478,4363.0
R,S-RTH,S3,3.0,30,-0.072,0.165,3.25,0.476,4341.0
R,S-RTH,S3,3.0,60,-0.093,0.283,4.13,0.488,4287.0
R,S-RTH,S3,3.0,120,-0.101,0.295,3.26,0.483,4129.0
S,S-SETTLE,S1,1.5,5,0.009,0.017,2.06,0.451,22547.0
S,S-SETTLE,S1,1.5,15,0.007,0.027,1.89,0.476,21937.0
S,S-SETTLE,S1,1.5,30,-0.004,0.021,1.06,0.485,21114.0
S,S-SETTLE,S1,1.5,60,-0.029,0.031,1.03,0.474,19469.0
S,S-SETTLE,S1,1.5,120,-0.044,0.046,0.89,0.485,15901.0
S,S-SETTLE,S1,2.0,5,0.008,0.033,3.91,0.455,14143.0
S,S-SETTLE,S1,2.0,15,0.007,0.066,4.48,0.48,13858.0
S,S-SETTLE,S1,2.0,30,-0.017,0.06,2.52,0.478,13473.0
S,S-SETTLE,S1,2.0,60,-0.042,0.117,3.49,0.474,12703.0
S,S-SETTLE,S1,2.0,120,-0.08,0.186,4.01,0.479,10930.0
S,S-SETTLE,S1,2.5,5,0.012,0.047,3.84,0.471,7022.0
S,S-SETTLE,S1,2.5,15,0.012,0.093,4.13,0.489,6925.0
S,S-SETTLE,S1,2.5,30,0.007,0.131,4.33,0.49,6747.0
