window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
U,S-USED,S1,2.5,60,0.032,0.52,5.89,0.495,8912.0
U,S-USED,S1,2.5,120,0.127,0.656,5.35,0.507,8238.0
U,S-USED,S1,3.0,5,0.089,0.233,6.31,0.477,4647.0
U,S-USED,S1,3.0,15,0.06,0.384,6.92,0.49,4618.0
U,S-USED,S1,3.0,30,0.061,0.521,6.63,0.501,4597.0
U,S-USED,S1,3.0,60,0.079,0.664,6.49,0.511,4495.0
U,S-USED,S1,3.0,120,0.07,0.598,3.99,0.512,4302.0
U,S-USED,S2,1.5,5,0.039,0.054,3.25,0.454,30902.0
U,S-USED,S2,1.5,15,0.044,0.098,3.31,0.482,29962.0
U,S-USED,S2,1.5,30,0.039,0.132,2.94,0.49,28735.0
U,S-USED,S2,1.5,60,0.078,0.256,3.84,0.503,26587.0
U,S-USED,S2,1.5,120,0.116,0.463,4.67,0.509,22499.0
U,S-USED,S2,2.0,5,0.043,0.089,4.05,0.461,18574.0
U,S-USED,S2,2.0,15,0.054,0.154,4.16,0.483,18136.0
U,S-USED,S2,2.0,30,0.054,0.199,3.73,0.493,17591.0
U,S-USED,S2,2.0,60,0.078,0.344,4.28,0.502,16574.0
U,S-USED,S2,2.0,120,0.099,0.499,4.33,0.503,14620.0
U,S-USED,S2,2.5,5,0.057,0.162,5.26,0.469,9503.0
U,S-USED,S2,2.5,15,0.095,0.282,5.8,0.491,9364.0
U,S-USED,S2,2.5,30,0.098,0.346,5.36,0.497,9196.0
U,S-USED,S2,2.5,60,0.043,0.489,5.32,0.494,8833.0
U,S-USED,S2,2.5,120,0.002,0.397,3.13,0.498,8122.0
U,S-USED,S2,3.0,5,0.07,0.191,5.1,0.48,4662.0
U,S-USED,S2,3.0,15,0.097,0.305,4.97,0.495,4613.0
U,S-USED,S2,3.0,30,0.113,0.435,5.29,0.498,4581.0
U,S-USED,S2,3.0,60,-0.068,0.462,4.04,0.495,4482.0
