window,window_name,spec,entry_z,horizon_bars,mean_bps,mean_session_bps,t_clustered,hit_rate,n_events
R,S-RTH,S2,2.0,120,-0.003,0.23,4.87,0.495,20179.0
R,S-RTH,S2,2.5,5,0.023,0.064,4.7,0.468,12000.0
R,S-RTH,S2,2.5,15,0.021,0.108,5.25,0.489,11836.0
R,S-RTH,S2,2.5,30,0.008,0.153,5.08,0.492,11634.0
R,S-RTH,S2,2.5,60,-0.006,0.231,5.34,0.496,11150.0
R,S-RTH,S2,2.5,120,-0.006,0.314,5.63,0.499,10247.0
R,S-RTH,S2,3.0,5,0.025,0.071,4.11,0.476,5562.0
R,S-RTH,S2,3.0,15,0.045,0.157,5.66,0.499,5520.0
R,S-RTH,S2,3.0,30,0.023,0.216,5.73,0.515,5467.0
R,S-RTH,S2,3.0,60,0.051,0.305,5.71,0.514,5307.0
R,S-RTH,S2,3.0,120,-0.031,0.3,4.27,0.491,4992.0
R,S-RTH,S3,1.5,5,0.028,0.054,7.13,0.461,40441.0
R,S-RTH,S3,1.5,15,0.026,0.079,6.18,0.479,39336.0
R,S-RTH,S3,1.5,30,0.021,0.108,5.35,0.485,37956.0
R,S-RTH,S3,1.5,60,-0.0,0.166,5.06,0.487,35350.0
R,S-RTH,S3,1.5,120,-0.038,0.228,4.41,0.481,30500.0
R,S-RTH,S3,2.0,5,0.025,0.06,6.13,0.46,24424.0
R,S-RTH,S3,2.0,15,0.022,0.104,6.15,0.482,24021.0
R,S-RTH,S3,2.0,30,0.005,0.135,5.45,0.49,23552.0
R,S-RTH,S3,2.0,60,0.004,0.262,6.78,0.487,22481.0
R,S-RTH,S3,2.0,120,-0.007,0.397,7.31,0.483,20420.0
R,S-RTH,S3,2.5,5,0.045,0.095,6.88,0.474,12593.0
R,S-RTH,S3,2.5,15,0.049,0.178,8.12,0.488,12474.0
R,S-RTH,S3,2.5,30,0.039,0.242,7.9,0.494,12316.0
R,S-RTH,S3,2.5,60,0.023,0.35,8.02,0.495,12006.0
R,S-RTH,S3,2.5,120,0.004,0.415,6.83,0.492,11321.0
R,S-RTH,S3,3.0,5,0.043,0.11,5.91,0.477,6281.0
R,S-RTH,S3,3.0,15,0.011,0.161,5.75,0.479,6255.0
R,S-RTH,S3,3.0,30,-0.008,0.243,6.33,0.489,6216.0
R,S-RTH,S3,3.0,60,-0.025,0.36,6.57,0.49,6131.0
R,S-RTH,S3,3.0,120,-0.026,0.384,5.28,0.49,5903.0
S,S-SETTLE,S1,1.5,5,0.014,0.034,5.02,0.451,35526.0
S,S-SETTLE,S1,1.5,15,0.012,0.057,4.44,0.478,34589.0
S,S-SETTLE,S1,1.5,30,0.003,0.068,3.76,0.484,33195.0
S,S-SETTLE,S1,1.5,60,-0.004,0.096,3.23,0.489,30507.0
S,S-SETTLE,S1,1.5,120,-0.024,0.135,3.0,0.49,25097.0
S,S-SETTLE,S1,2.0,5,0.019,0.056,6.34,0.462,21326.0
S,S-SETTLE,S1,2.0,15,0.023,0.091,6.01,0.483,20916.0
S,S-SETTLE,S1,2.0,30,0.004,0.123,5.44,0.488,20340.0
S,S-SETTLE,S1,2.0,60,-0.013,0.209,6.07,0.492,19120.0
S,S-SETTLE,S1,2.0,120,-0.038,0.276,6.2,0.493,16601.0
S,S-SETTLE,S1,2.5,5,0.028,0.081,6.52,0.47,10238.0
S,S-SETTLE,S1,2.5,15,0.027,0.154,7.37,0.491,10100.0
S,S-SETTLE,S1,2.5,30,0.01,0.206,7.13,0.498,9887.0
S,S-SETTLE,S1,2.5,60,0.011,0.313,7.8,0.497,9422.0
S,S-SETTLE,S1,2.5,120,-0.012,0.384,7.18,0.497,8437.0
S,S-SETTLE,S1,3.0,5,0.029,0.104,5.74,0.482,4347.0
S,S-SETTLE,S1,3.0,15,0.031,0.208,7.36,0.496,4298.0
S,S-SETTLE,S1,3.0,30,0.039,0.303,7.49,0.51,4225.0
S,S-SETTLE,S1,3.0,60,0.012,0.317,5.77,0.504,4058.0
S,S-SETTLE,S1,3.0,120,-0.042,0.334,4.76,0.498,3782.0
S,S-SETTLE,S2,1.5,5,0.022,0.038,4.93,0.457,35659.0
S,S-SETTLE,S2,1.5,15,0.021,0.059,4.6,0.482,34627.0
